column,type
event_id,VARCHAR
id,VARCHAR
user_id,VARCHAR
ts,BIGINT
day,BIGINT
device_id,VARCHAR
adid,VARCHAR
login_count,BIGINT
register_ts,BIGINT
os,VARCHAR
client_version,BIGINT
spt,BIGINT
total_spt,BIGINT
ab_test_segment,VARCHAR
level,BIGINT
exp,BIGINT
os_version,VARCHAR
lifetime_spend,FLOAT
purchase_count,BIGINT
paid_gold,BIGINT
free_gold,BIGINT
gold,BIGINT
paid_gem,BIGINT
free_gem,BIGINT
gem,BIGINT
tracker_name,VARCHAR
network,VARCHAR
campaign,VARCHAR
adgroup,VARCHAR
creative,VARCHAR
locale,VARCHAR
timezone_offset,BIGINT
